Date,Amount,Category,Description

2023-01-01,50.00,Groceries,Supermarket purchase
2023-01-02,20.00,Transport,Gasoline for car
2023-01-03,12.99,Entertainment,Movie streaming subscription
2023-01-04,110.00,Rent,Monthly apartment rent
2023-01-05,6.50,Food,Coffee and sandwich
2023-01-06,40.00,Health,Doctor's visit copay
2023-01-07,30.00,Utilities,Electricity bill
2023-01-08,19.00,Entertainment,Online gaming subscription
2023-01-09,30.00,Groceries,Weekly grocery shopping
2023-01-10,4.00,Food,Snack at convenience store
2023-01-11,9.50,Entertainment,Music streaming service
2023-01-12,55.00,Transport,Monthly bus pass
2023-01-13,70.00,Shopping,New shoes
2023-01-14,45.00,Health,Gym membership
2023-01-15,100.00,Rent,Partial rent payment
2023-01-16,28.50,Groceries,Supermarket purchase
2023-01-17,16.75,Transport,Taxi fare
2023-01-18,8.99,Entertainment,E-book purchase
2023-01-19,32.00,Shopping,New jeans
2023-01-20,11.99,Food,Lunch at a restaurant
2023-01-21,13.50,Entertainment,Movie ticket
2023-01-22,140.00,Rent,Monthly apartment rent
2023-01-23,18.00,Utilities,Water bill
2023-01-24,45.99,Shopping,New backpack
2023-01-25,18.50,Groceries,Weekly grocery shopping
2023-01-26,3.50,Food,Coffee to-go
2023-01-27,13.99,Entertainment,Online movie rental
2023-01-28,20.00,Transport,Gasoline for car
2023-01-29,25.99,Shopping,Winter coat
2023-01-30,75.00,Health,Pharmacy purchase
2023-01-31,180.00,Rent,Monthly apartment rent
2023-02-01,21.00,Groceries,Supermarket purchase
2023-02-02,8.99,Entertainment,Music streaming service
2023-02-03,14.00,Food,Takeout dinner
2023-02-04,28.00,Transport,Train ticket
2023-02-05,42.50,Groceries,Weekly grocery shopping
2023-02-06,23.99,Shopping,New headphones
2023-02-07,12.00,Entertainment,Movie ticket
2023-02-08,85.00,Rent,Partial rent payment
2023-02-09,30.75,Health,Dental check-up
2023-02-10,55.00,Transport,Monthly bus pass
2023-02-11,10.50,Food,Lunch at a café
2023-02-12,22.00,Groceries,Supermarket purchase
2023-02-13,16.99,Entertainment,Online game purchase
2023-02-14,75.00,Shopping,New jacket
2023-02-15,18.99,Groceries,Weekly grocery shopping
2023-02-16,4.50,Food,Snack at a convenience store
2023-02-17,16.99,Entertainment,Movie streaming subscription
2023-02-18,23.00,Transport,Gasoline for car
2023-02-19,45.00,Shopping,New pair of shoes
2023-02-20,140.00,Rent,Monthly apartment rent
2023-02-21,30.75,Groceries,Supermarket purchase
2023-02-22,12.50,Food,Dinner at a restaurant
2023-02-23,55.00,Transport,Monthly bus pass
2023-02-24,7.99,Entertainment,Music streaming service
2023-02-25,22.00,Shopping,New book
2023-02-26,35.00,Health,Doctor's visit copay
2023-02-27,140.00,Rent,Monthly apartment rent
2023-02-28,25.50,Groceries,Weekly grocery shopping
2023-03-01,40.00,Shopping,New backpack
2023-03-02,55.00,Transport,Monthly bus pass
2023-03-03,20.99,Entertainment,Concert ticket
2023-03-04,9.50,Food,Lunch at a café
2023-03-05,32.00,Health,Pharmacy purchase
2023-03-06,45.00,Shopping,New shoes
2023-03-07,13.50,Entertainment,Movie ticket
2023-03-08,20.75,Groceries,Supermarket purchase
2023-03-09,13.50,Food,Dinner at a restaurant
2023-03-10,20.00,Transport,Gasoline for car
2023-03-11,30.00,Shopping,New jeans
2023-03-12,55.00,Health,Gym membership
2023-03-13,110.00,Rent,Monthly apartment rent
2023-03-14,17.50,Groceries,Weekly grocery shopping
2023-03-15,7.99,Entertainment,Music streaming service
2023-03-16,13.00,Food,Takeout dinner
2023-03-17,28.00,Transport,Train ticket
2023-03-18,40.00,Shopping,New headphones
2023-03-19,10.99,Entertainment,E-book purchase
2023-03-20,140.00,Rent,Monthly apartment rent
2023-03-21,17.99,Groceries,Supermarket purchase
2023-03-22,20.00,Transport,Gasoline for car
2023-03-23,12.50,Food,Coffee and pastry
2023-03-24,16.99,Entertainment,Movie streaming subscription
2023-03-25,18.00,Groceries,Weekly grocery shopping
2023-03-26,22.00,Shopping,New book
2023-03-27,30.00,Health,Doctor's visit copay
2023-03-28,140.00,Rent,Monthly apartment rent
2023-03-29,27.50,Groceries,Supermarket purchase
2023-03-30,20.00,Transport,Gasoline for car
2023-03-31,13.50,Entertainment,Movie ticket
2023-04-01,55.00,Transport,Monthly bus pass
2023-04-02,7.99,Entertainment,Music streaming service
2023-04-03,110.00,Rent,Monthly apartment rent
2023-04-04,35.00,Shopping,New jacket
2023-04-05,8.50,Food,Coffee to-go
2023-04-06,32.00,Health,Pharmacy purchase
2023-04-07,22.00,Shopping,New book
2023-04-08,13.00,Entertainment,Movie ticket
2023-04-09,18.00,Groceries,Supermarket purchase
2023-05-01,28.00,Transport,Train ticket
2023-05-02,19.50,Groceries,Weekly grocery shopping
2023-05-03,11.99,Entertainment,Music streaming service
2023-05-04,35.00,Health,Doctor's visit copay
2023-05-05,22.00,Food,Takeout dinner
2023-05-06,55.00,Transport,Monthly bus pass
2023-05-07,45.00,Shopping,New pair of shoes
2023-05-08,17.99,Entertainment,E-book purchase
2023-05-09,13.50,Food,Lunch at a café
2023-05-10,32.00,Shopping,New jacket
2023-05-11,140.00,Rent,Monthly apartment rent
2023-05-12,22.00,Groceries,Supermarket purchase
2023-05-13,16.75,Transport,Taxi fare
2023-05-14,12.50,Food,Dinner at a restaurant
2023-05-15,4.50,Entertainment,Movie rental
2023-05-16,18.00,Groceries,Weekly grocery shopping
2023-05-17,55.00,Health,Pharmacy purchase
2023-05-18,7.99,Entertainment,Music streaming service
2023-05-19,22.00,Shopping,New book
2023-06-01,20.00,Groceries,Supermarket purchase
2023-06-02,35.00,Shopping,New pair of shoes
2023-06-03,12.99,Entertainment,Music streaming service
2023-06-04,50.00,Health,Doctor's visit copay
2023-06-05,25.00,Food,Lunch at a café
2023-06-06,60.00,Transport,Monthly bus pass
2023-06-07,22.00,Groceries,Weekly grocery shopping
2023-06-08,35.00,Shopping,New jacket
2023-06-09,16.75,Entertainment,Movie ticket
2023-06-10,30.00,Transport,Train ticket
2023-06-11,12.50,Food,Coffee and pastry
2023-06-12,140.00,Rent,Monthly apartment rent
2023-06-13,25.00,Shopping,New book
2023-06-14,18.75,Entertainment,Movie streaming subscription
2023-06-15,22.00,Groceries,Supermarket purchase
2023-06-16,50.00,Health,Pharmacy purchase
2023-06-17,28.00,Food,Takeout dinner
2023-06-18,15.00,Entertainment,Movie ticket
2023-06-19,30.00,Shopping,New headphones
2023-06-20,22.00,Groceries,Weekly grocery shopping
2023-06-21,35.00,Transport,Gasoline for car
2023-06-22,28.00,Health,Pharmacy purchase
2023-06-23,16.75,Entertainment,E-book purchase
2023-06-24,30.00,Shopping,New jeans
2023-06-25,140.00,Rent,Monthly apartment rent
2023-06-26,22.00,Groceries,Supermarket purchase
2023-06-27,15.00,Food,Lunch at a café
2023-06-28,18.75,Entertainment,Music streaming service
2023-06-29,30.00,Transport,Train ticket
2023-06-30,50.00,Health,Gym membership
2023-07-01,20.00,Groceries,Supermarket purchase
2023-07-02,35.00,Shopping,New pair of shoes
2023-07-03,12.99,Entertainment,Music streaming service
2023-07-04,50.00,Health,Doctor's visit copay
2023-07-05,25.00,Food,Lunch at a café
2023-07-06,60.00,Transport,Monthly bus pass
2023-07-07,22.00,Groceries,Weekly grocery shopping
2023-07-08,35.00,Shopping,New jacket
2023-07-09,16.75,Entertainment,Movie ticket
2023-07-10,30.00,Transport,Train ticket
2023-07-11,12.50,Food,Coffee and pastry
2023-07-12,140.00,Rent,Monthly apartment rent
2023-07-13,25.00,Shopping,New book
2023-07-14,18.75,Entertainment,Movie streaming subscription
2023-07-15,22.00,Groceries,Supermarket purchase
2023-07-16,50.00,Health,Pharmacy purchase
2023-07-17,28.00,Food,Takeout dinner
2023-07-18,15.00,Entertainment,Movie ticket
2023-07-19,30.00,Shopping,New headphones
2023-07-20,22.00,Groceries,Weekly grocery shopping
2023-07-21,35.00,Transport,Gasoline for car
2023-07-22,28.00,Health,Pharmacy purchase
2023-07-23,16.75,Entertainment,E-book purchase
2023-07-24,30.00,Shopping,New jeans
2023-07-25,140.00,Rent,Monthly apartment rent
2023-07-26,22.00,Groceries,Supermarket purchase
2023-07-27,15.00,Food,Lunch at a café
2023-07-28,18.75,Entertainment,Music streaming service
2023-07-29,30.00,Transport,Train ticket
2023-07-30,50.00,Health,Gym membership
2023-07-31,35.00,Shopping,New jacket
2023-09-01,22.00,Groceries,Weekly grocery shopping
2023-09-02,30.00,Shopping,New shoes
2023-09-03,16.75,Entertainment,Movie ticket
2023-09-04,28.00,Transport,Train ticket
2023-09-05,13.50,Food,Lunch at a café
2023-09-06,55.00,Transport,Monthly bus pass
2023-09-07,20.00,Health,Pharmacy purchase
2023-09-08,140.00,Rent,Monthly apartment rent
2023-09-09,22.00,Groceries,Supermarket purchase
2023-09-10,35.00,Shopping,New jacket
2023-09-11,18.00,Food,Takeout dinner
2023-09-12,25.00,Entertainment,Movie streaming subscription
2023-09-13,12.50,Food,Coffee and pastry
2023-09-14,30.00,Transport,Gasoline for car
2023-09-15,45.00,Health,Gym membership
2023-09-16,22.00,Shopping,New book
2023-09-17,28.00,Groceries,Weekly grocery shopping
2023-09-18,10.99,Entertainment,E-book purchase
2023-09-19,16.00,Food,Lunch at a restaurant
2023-09-20,30.00,Shopping,New jeans
2023-09-21,19.50,Groceries,Supermarket purchase
2023-09-22,55.00,Transport,Monthly bus pass
2023-09-23,28.00,Health,Pharmacy purchase
2023-09-24,140.00,Rent,Monthly apartment rent
2023-09-25,13.50,Entertainment,Movie ticket
2023-09-26,22.00,Groceries,Weekly grocery shopping
2023-09-27,15.00,Food,Takeout dinner
2023-09-28,32.00,Shopping,New pair of shoes
2023-09-29,20.00,Transport,Train ticket
2023-09-30,17.99,Entertainment,Music streaming service
2023-10-01,22.00,Groceries,Supermarket purchase
2023-10-02,30.00,Shopping,New book
2023-10-03,45.00,Health,Pharmacy purchase
2023-10-04,16.75,Entertainment,Movie ticket
2023-10-05,28.00,Transport,Gasoline for car
2023-10-06,13.50,Food,Lunch at a café
2023-10-07,140.00,Rent,Monthly apartment rent
2023-10-08,22.00,Groceries,Weekly grocery shopping
2023-10-09,25.00,Entertainment,Movie streaming subscription
2023-10-10,35.00,Shopping,New jacket
2023-10-11,19.99,Groceries,Supermarket purchase
2023-10-12,55.00,Transport,Monthly bus pass
2023-10-13,12.50,Food,Dinner at a restaurant
2023-10-14,30.00,Health,Doctor's visit copay
2023-10-15,22.00,Shopping,New pair of shoes
2023-10-16,17.99,Entertainment,Music streaming service
2023-10-17,28.00,Groceries,Weekly grocery shopping
2023-10-18,16.75,Food,Lunch at a café
2023-10-19,20.00,Transport,Train ticket
2023-10-20,32.00,Shopping,New jeans
2023-10-21,140.00,Rent,Monthly apartment rent
2023-10-22,22.00,Groceries,Supermarket purchase
2023-10-23,15.00,Entertainment,Movie ticket
2023-10-24,50.00,Health,Gym membership
2023-10-25,28.00,Food,Takeout dinner
2023-10-26,25.00,Shopping,New book
2023-10-27,19.50,Groceries,Weekly grocery shopping
2023-10-28,30.00,Transport,Gasoline for car
2023-10-29,13.50,Entertainment,E-book purchase
2023-10-30,32.00,Shopping,New headphones
2023-10-31,140.00,Rent,Monthly apartment rent
2023-11-01,22.00,Groceries,Supermarket purchase
2023-11-02,30.00,Shopping,New shoes
2023-11-03,45.00,Health,Pharmacy purchase
2023-11-04,16.75,Entertainment,Movie ticket
2023-11-05,28.00,Transport,Train ticket
2023-11-06,13.50,Food,Lunch at a café
2023-11-07,140.00,Rent,Monthly apartment rent
2023-11-08,22.00,Groceries,Weekly grocery shopping
2023-11-09,25.00,Entertainment,Movie streaming subscription
2023-11-10,35.00,Shopping,New jacket
2023-11-11,19.99,Groceries,Supermarket purchase
2023-11-12,55.00,Transport,Monthly bus pass
2023-11-13,12.50,Food,Dinner at a restaurant
2023-11-14,30.00,Health,Doctor's visit copay
2023-11-15,22.00,Shopping,New pair of shoes
2023-11-16,17.99,Entertainment,Music streaming service
2023-11-17,28.00,Groceries,Weekly grocery shopping
2023-11-18,16.75,Food,Lunch at a café
2023-11-19,20.00,Transport,Gasoline for car
2023-11-20,32.00,Shopping,New jeans
2023-11-21,140.00,Rent,Monthly apartment rent
2023-11-22,22.00,Groceries,Supermarket purchase
2023-11-23,15.00,Entertainment,Movie ticket
2023-11-24,50.00,Health,Gym membership
2023-11-25,28.00,Food,Takeout dinner
2023-11-26,25.00,Shopping,New book
2023-11-27,19.50,Groceries,Weekly grocery shopping
2023-11-28,30.00,Transport,Gasoline for car
2023-11-29,13.50,Entertainment,E-book purchase
2023-11-30,32.00,Shopping,New headphones
2023-12-01,140.00,Rent,Monthly apartment rent
2023-12-02,22.00,Groceries,Supermarket purchase
2023-12-03,30.00,Shopping,New shoes
2023-12-04,45.00,Health,Pharmacy purchase
2023-12-05,16.75,Entertainment,Movie ticket
2023-12-06,28.00,Transport,Train ticket
2023-12-07,13.50,Food,Lunch at a café
2023-12-08,140.00,Rent,Monthly apartment rent
2023-12-09,22.00,Groceries,Weekly grocery shopping
2023-12-10,25.00,Entertainment,Movie streaming subscription
2023-12-11,35.00,Shopping,New jacket
2023-12-12,19.99,Groceries,Supermarket purchase
2023-12-13,55.00,Transport,Monthly bus pass
2023-12-14,12.50,Food,Dinner at a restaurant
2023-12-15,30.00,Health,Doctor's visit copay
2023-12-16,22.00,Shopping,New pair of shoes
2023-12-17,17.99,Entertainment,Music streaming service
2023-12-18,28.00,Groceries,Weekly grocery shopping
2023-12-19,16.75,Food,Lunch at a café
2023-12-20,20.00,Transport,Gasoline for car
2023-12-21,32.00,Shopping,New jeans
2023-12-22,140.00,Rent,Monthly apartment rent
2023-12-23,22.00,Groceries,Supermarket purchase
2023-12-24,15.00,Entertainment,Movie ticket
2023-12-25,50.00,Health,Gym membership
2023-12-26,28.00,Food,Takeout dinner
2023-12-27,25.00,Shopping,New book
2024-01-01,52.75,Groceries,Supermarket purchase
2024-01-02,25.00,Transport,Gasoline for car
2024-01-03,15.99,Entertainment,Movie streaming subscription
2024-01-04,120.50,Rent,Monthly apartment rent
2024-01-05,7.80,Food,Coffee and sandwich
2024-01-06,45.00,Health,Doctor's visit copay
2024-01-07,35.90,Utilities,Electricity bill
2024-01-08,19.99,Entertainment,Online gaming subscription
2024-01-09,32.45,Groceries,Weekly grocery shopping
2024-01-10,5.00,Food,Snack at convenience store
2024-01-11,9.99,Entertainment,Music streaming service
2024-01-12,60.00,Transport,Monthly bus pass
2024-01-13,75.00,Shopping,New shoes
2024-01-14,50.00,Health,Gym membership
2024-01-15,100.00,Rent,Partial rent payment
2024-01-16,30.50,Groceries,Supermarket purchase
2024-01-17,18.75,Transport,Taxi fare
2024-01-18,9.99,Entertainment,E-book purchase
2024-01-19,35.00,Shopping,New jeans
2024-01-20,12.99,Food,Lunch at a restaurant
2024-01-21,15.00,Entertainment,Movie ticket
2024-01-22,150.00,Rent,Monthly apartment rent
2024-01-23,20.00,Utilities,Water bill
2024-01-24,49.99,Shopping,New backpack
2024-01-25,19.50,Groceries,Weekly grocery shopping
2024-01-26,4.50,Food,Coffee to-go
2024-01-27,14.99,Entertainment,Online movie rental
2024-01-28,25.00,Transport,Gasoline for car
2024-01-29,29.99,Shopping,Winter coat
2024-01-30,80.00,Health,Pharmacy purchase
2024-01-31,200.00,Rent,Monthly apartment rent
2024-02-01,22.00,Groceries,Supermarket purchase
2024-02-02,9.99,Entertainment,Music streaming service
2024-02-03,15.00,Food,Takeout dinner
2024-02-04,30.00,Transport,Train ticket
2024-02-05,45.50,Groceries,Weekly grocery shopping
2024-02-06,25.99,Shopping,New headphones
2024-02-07,14.00,Entertainment,Movie ticket
2024-02-08,90.00,Rent,Partial rent payment
2024-02-09,35.75,Health,Dental check-up
2024-02-10,60.00,Transport,Monthly bus pass
2024-02-11,12.50,Food,Lunch at a café
2024-02-12,25.00,Groceries,Supermarket purchase
2024-02-13,17.99,Entertainment,Online game purchase
2024-02-14,80.00,Shopping,New jacket
2024-02-15,19.99,Groceries,Weekly grocery shopping
2024-02-16,5.50,Food,Snack at a convenience store
2024-02-17,18.99,Entertainment,Movie streaming subscription
2024-02-18,25.00,Transport,Gasoline for car
2024-02-19,50.00,Shopping,New pair of shoes
2024-02-20,150.00,Rent,Monthly apartment rent
2024-02-21,32.75,Groceries,Supermarket purchase
2024-02-22,14.50,Food,Dinner at a restaurant
2024-02-23,60.00,Transport,Monthly bus pass
2024-02-24,8.99,Entertainment,Music streaming service
2024-02-25,25.00,Shopping,New book
2024-02-26,40.00,Health,Doctor's visit copay
2024-02-27,150.00,Rent,Monthly apartment rent
2024-02-28,27.50,Groceries,Weekly grocery shopping
2024-03-01,45.00,Shopping,New backpack
2024-03-02,60.00,Transport,Monthly bus pass
2024-03-03,22.99,Entertainment,Concert ticket
2024-03-04,10.50,Food,Lunch at a café
2024-03-05,35.00,Health,Pharmacy purchase
2024-03-06,50.00,Shopping,New shoes
2024-03-07,15.00,Entertainment,Movie ticket
2024-03-08,22.75,Groceries,Supermarket purchase
2024-03-09,14.99,Food,Dinner at a restaurant
2024-03-10,25.00,Transport,Gasoline for car
2024-03-11,35.00,Shopping,New jeans
2024-03-12,60.00,Health,Gym membership
2024-03-13,120.00,Rent,Monthly apartment rent
2024-03-14,19.50,Groceries,Weekly grocery shopping
2024-03-15,8.99,Entertainment,Music streaming service
2024-03-16,15.00,Food,Takeout dinner
2024-03-17,30.00,Transport,Train ticket
2024-03-18,45.00,Shopping,New headphones
2024-03-19,12.99,Entertainment,E-book purchase
2024-03-20,150.00,Rent,Monthly apartment rent
2024-03-21,19.99,Groceries,Supermarket purchase
2024-03-22,25.00,Transport,Gasoline for car
2024-03-23,14.50,Food,Coffee and pastry
2024-03-24,18.99,Entertainment,Movie streaming subscription
2024-03-25,20.00,Groceries,Weekly grocery shopping
2024-03-26,25.00,Shopping,New book
2024-03-27,35.00,Health,Doctor's visit copay
2024-03-28,150.00,Rent,Monthly apartment rent
2024-03-29,30.50,Groceries,Supermarket purchase
2024-03-30,25.00,Transport,Gasoline for car
2024-03-31,15.00,Entertainment,Movie ticket
2024-04-01,60.00,Transport,Monthly bus pass
2024-04-02,8.99,Entertainment,Music streaming service
2024-04-03,120.00,Rent,Monthly apartment rent
2024-04-04,40.00,Shopping,New jacket
2024-04-05,10.00,Food,Coffee to-go
2024-04-06,35.00,Health,Pharmacy purchase
2024-04-07,25.00,Shopping,New book
2024-04-08,15.00,Entertainment,Movie ticket
2024-04-09,20.00,Groceries,Supermarket purchase
2024-05-01,30.00,Transport,Train ticket
2024-05-02,22.50,Groceries,Weekly grocery shopping
2024-05-03,12.99,Entertainment,Music streaming service
2024-05-04,40.00,Health,Doctor's visit copay
2024-05-05,25.00,Food,Takeout dinner
2024-05-06,60.00,Transport,Monthly bus pass
2024-05-07,50.00,Shopping,New pair of shoes
2024-05-08,19.99,Entertainment,E-book purchase
2024-05-09,15.00,Food,Lunch at a café
2024-05-10,35.00,Shopping,New jacket
2024-05-11,150.00,Rent,Monthly apartment rent
2024-05-12,25.00,Groceries,Supermarket purchase
2024-05-13,18.75,Transport,Taxi fare
2024-05-14,14.50,Food,Dinner at a restaurant
2024-05-15,5.00,Entertainment,Movie rental
2024-05-16,20.00,Groceries,Weekly grocery shopping
2024-05-17,60.00,Health,Pharmacy purchase
2024-05-18,8.99,Entertainment,Music streaming service
2024-05-19,25.00,Shopping,New book
2024-05-20,150.00,Rent,Monthly apartment rent
2024-05-21,22.00,Groceries,Supermarket purchase
2024-05-22,45.00,Transport,Gasoline for car
2024-05-23,35.00,Shopping,New jeans
2024-05-24,15.00,Entertainment,Movie ticket
2024-05-25,30.00,Food,Lunch at a restaurant
2024-05-26,50.00,Health,Gym membership
2024-05-27,40.00,Transport,Train ticket
2024-05-28,19.99,Entertainment,Online game purchase
2024-05-29,25.00,Shopping,New headphones
2024-05-30,120.00,Rent,Monthly apartment rent
2024-05-31,30.00,Groceries,Supermarket purchase
2024-06-01,60.00,Transport,Monthly bus pass
2024-06-02,20.00,Groceries,Weekly grocery shopping
2024-06-03,12.99,Entertainment,E-book purchase
2024-06-04,35.00,Shopping,New pair of shoes
2024-06-05,25.00,Food,Takeout dinner
2024-06-06,50.00,Health,Pharmacy purchase
2024-06-07,15.00,Entertainment,Movie ticket
2024-06-08,150.00,Rent,Monthly apartment rent
2024-06-09,30.50,Groceries,Supermarket purchase
2024-06-10,5.00,Food,Coffee to-go
2024-06-11,22.00,Transport,Train ticket
2024-06-12,40.00,Shopping,New book
2024-06-13,19.99,Entertainment,Music streaming service
2024-06-14,25.00,Groceries,Weekly grocery shopping
2024-06-15,10.00,Food,Lunch at a café
2024-06-16,18.75,Transport,Taxi fare
2024-06-17,30.00,Health,Doctor's visit copay
2024-06-18,50.00,Shopping,New jacket
2024-06-19,35.00,Entertainment,Movie streaming subscription
2024-06-20,25.00,Transport,Gasoline for car
2024-06-21,120.00,Rent,Monthly apartment rent
2024-06-22,22.50,Groceries,Supermarket purchase
2024-06-23,45.00,Food,Dinner at a restaurant
2024-06-24,60.00,Health,Gym membership
2024-06-25,8.99,Entertainment,Music streaming service
2024-06-26,25.00,Shopping,New book
2024-06-27,30.00,Transport,Train ticket
2024-06-28,35.00,Shopping,New jeans
2024-06-29,15.00,Entertainment,Movie ticket
2024-06-30,30.00,Groceries,Weekly grocery shopping
2024-07-01,50.00,Health,Pharmacy purchase
2024-07-02,22.00,Groceries,Supermarket purchase
2024-07-03,25.00,Food,Lunch at a café
2024-07-04,35.00,Shopping,New pair of shoes
2024-07-05,150.00,Rent,Monthly apartment rent
2024-07-06,30.00,Transport,Train ticket
2024-07-07,18.75,Entertainment,Movie ticket
2024-07-08,60.00,Transport,Monthly bus pass
2024-07-09,40.00,Health,Doctor's visit copay
2024-07-10,20.00,Groceries,Weekly grocery shopping
2024-07-11,25.00,Shopping,New headphones
2024-07-12,12.99,Entertainment,Music streaming service
2024-07-13,15.00,Food,Takeout dinner
2024-07-14,30.00,Groceries,Supermarket purchase
2024-07-15,50.00,Health,Pharmacy purchase
2024-07-16,25.00,Shopping,New book
2024-07-17,35.00,Transport,Gasoline for car
2024-07-18,8.99,Entertainment,Music streaming service
2024-07-19,25.00,Groceries,Weekly grocery shopping
2024-07-20,10.00,Food,Lunch at a café
2024-07-21,150.00,Rent,Monthly apartment rent
2024-07-22,30.00,Transport,Train ticket
2024-07-23,45.00,Health,Gym membership
2024-07-24,20.00,Shopping,New jeans
2024-07-25,35.00,Entertainment,Movie streaming subscription
2024-07-26,25.00,Food,Takeout dinner
2024-07-27,22.50,Groceries,Supermarket purchase
2024-07-28,50.00,Shopping,New jacket
2024-07-29,60.00,Transport,Monthly bus pass
2024-07-30,30.00,Health,Doctor's visit copay
2024-07-31,15.00,Entertainment,Movie ticket
2024-08-01,25.00,Groceries,Weekly grocery shopping
2024-08-02,35.00,Shopping,New pair of shoes
2024-08-03,50.00,Health,Pharmacy purchase
2024-08-04,22.00,Transport,Train ticket
2024-08-05,15.00,Entertainment,Movie ticket
2024-08-06,60.00,Transport,Monthly bus pass
2024-08-07,30.00,Groceries,Supermarket purchase
2024-08-08,25.00,Food,Lunch at a café
2024-08-09,35.00,Shopping,New jeans
2024-08-10,150.00,Rent,Monthly apartment rent
2024-08-11,20.00,Groceries,Weekly grocery shopping
2024-08-12,8.99,Entertainment,Music streaming service
2024-08-13,50.00,Health,Doctor's visit copay
2024-08-14,25.00,Shopping,New book
2024-08-15,12.99,Entertainment,E-book purchase
2024-08-16,30.00,Transport,Gasoline for car
2024-08-17,45.00,Food,Takeout dinner
2024-08-18,22.50,Groceries,Supermarket purchase
2024-08-19,35.00,Entertainment,Movie streaming subscription
2024-08-20,25.00,Shopping,New headphones
2024-08-21,150.00,Rent,Monthly apartment rent
2024-08-22,20.00,Food,Lunch at a café
2024-08-23,30.00,Transport,Train ticket
2024-08-24,50.00,Health,Pharmacy purchase
2024-08-25,25.00,Groceries,Weekly grocery shopping
2024-08-26,15.00,Entertainment,Movie ticket
2024-08-27,35.00,Shopping
2024-08-13,24,Groceries,ayj
